ID,Date,Duration,Language,Length,Transcription
DIRTY_011,31/02/2026,,en,long,"From: sales@boutique.com
    To: manager@boutique.com  
    Subject: RE: FW: RE: Client m dubois
    
    -----Original Message-----
    Hi,
    Pls see below client info:
    - 66-year-old
    - Budget: 5000€  
    - Francfort
    - noir leather pref
    
    Rgds,
    
    >>> Previous message truncated...
    
    Sent from my iPhone
    --
    This email is confidential blah blah disclaimer..."
DIRTY_012,31/02/2026,très long,Italien,medium,"|Client|M. 李明 (Li Ming)|
    |Age|62 Jahre alt|
    |Budget|$10000|
    |Ville|LONDON|
    |Corrupted|data|table|error|format|"
DIRTY_013,1/15/26,,autre,,"From: sales@boutique.com
    To: manager@boutique.com  
    Subject: RE: FW: RE: Client M. François-Xavier
    
    -----Original Message-----
    Hi,
    Pls see below client info:
    - late twenties
    - 20000EUR  
    - milano
    - rose gold leather pref
    
    Rgds,
    
    >>> Previous message truncated...
    
    Sent from my iPhone
    --
    This email is confidential blah blah disclaimer..."
DIRTY_014,???,30-45 min,FR/EN,LONG,"RDV M. 李明 (Li Ming) le 31/02/2026 à 25:99
    Client depuis 2099, born 1964.
    Anniversaire: hier/demain/bientôt
    Budget unlimited budget à confirmer 30/13/2025
    Rappeler: la semaine prochaine ou le mois dernier
    Pars. kosher. . noir."
DIRTY_015,"RDV Durand le 31/02/2026 à 25:99
    Client depuis 2099, 50 ans.
    Anniversaire: hier/demain/bientôt
    Budget 10000 – 12127 € à confirmer 30/13/2025
    Rappeler: la semaine prochaine ou le mois dernier
    Dubai. kosher. severe shellfish allergy CRITICAL. blanc.",2026.01.15,,DE,
DIRTY_016,15 janvier 2026,,Spanish,moyen,"Client Mr. O'Brien-McIntyre, 37 años. Wants to buy un sac pour business trips. 
    Budget 7000€. Habite Milan mais travels often to München et Milano.
    Sport: équitation. vegetarian events. Cuir Noir preferred. ???."
DIRTY_017,01-15-2026,N/A,Espagnol,???,"Euh alors le client c'est M. DUPONT Jean-Pierre voilà euh 
    donc il a genre euh quarantaine enfin bon bref
    et donc son budget c'est euh environ euh genre 5k euros
    il habite à ah mince comment ça s'appelle euh zürich
    donc voilà quoi euh pas de restrictions et puis euh none
    ah oui et il aime le Cognac voilà c'est tout euh merci"
DIRTY_018,2026-01-15,30 minutes,Italian,long,"Client . Age: . Budget: . Ville: .
    Sport: ???. Régime: N/A. Allergie: null.
    Couleur: undefined. Profession: NaN.
    TODO: compléter fiche plus tard"
DIRTY_019,invalid,30-45 min,deutsch,longe,"M. Mme Zoë Bäcker, nouveau client mais client fidèle depuis 2015.
    soixantaine dynamique et retraité depuis 20 ans.
    Budget 15000EUR limité mais très généreux illimité.
    vegetarian events strict mais mange de tout occasionnellement.
    Habite francfort mais n'a jamais visité cette ville.
    Aime Cognac mais déteste absolument cette couleur.
    allergies alimentaires diverses mais aucun problème avec ces allergènes."
DIRTY_020,2026.01.15,environ 30,Italian,moyen,"From: sales@boutique.com
    To: manager@boutique.com  
    Subject: RE: FW: RE: Client m dubois
    
    -----Original Message-----
    Hi,
    Pls see below client info:
    - 41 years old
    - budget flexible  
    - Frankfurt
    - multicolore leather pref
    
    Rgds,
    
    >>> Previous message truncated...
    
    Sent from my iPhone
    --
    This email is confidential blah blah disclaimer..."
DIRTY_021,"January 15, 2026","Euh alors le client c'est Mrs. Αλεξάνδρα Παπαδόπουλος voilà euh 
    donc il a genre euh 74 Jahre alt enfin bon bref
    et donc son budget c'est euh environ euh genre budget flexible
    il habite à ah mince comment ça s'appelle euh milano
    donc voilà quoi euh végétarien mais mange du poisson et puis euh allergique nickel + latex
    ah oui et il aime le BLACK voilà c'est tout euh merci"
DIRTY_022,31/02/2026,30 min,German,???,"From: sales@boutique.com
    To: manager@boutique.com  
    Subject: RE: FW: RE: Client Sr. João Gonçalves
    
    -----Original Message-----
    Hi,
    Pls see below client info:
    - quarante-deux
    - 30k  
    - Tokyo
    - BLACK leather pref
    
    Rgds,
    
    >>> Previous message truncated...
    
    Sent from my iPhone
    --
    This email is confidential blah blah disclaimer..."
DIRTY_023,N/A,court,fr,SHORT,"{name: ""Client_23"", age: ~62, 
    budget: ""25k"", city: Singapoure"",
    diet: ""suit régime Keto, allergy: ""ATTENTION: allergie sévère fruits coque!!!"",
    color: rose gold, sport"": ""kitesurf""
    ERROR: JSON PARSE FAILED LINE 3}"
DIRTY_024,00/00/0000,30min,German,medium,"Rendez-vous <script>alert('XSS')</script> avec M. Müller-Löwenstein.
    <b>Budget:</b> 3000$ <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: NYC <br> Age: 52+
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: rose-gold. vegan sauf occasionnellement. allergique nickel + latex."
DIRTY_025,01-15-2026,N/A,IT,LONG,"Euh alors le client c'est Mrs. Björk Jónsdóttir voilà euh 
    donc il a genre euh late twenties enfin bon bref
    et donc son budget c'est euh environ euh genre 30K€
    il habite à ah mince comment ça s'appelle euh DUBAI
    donc voilà quoi euh kosher et puis euh severe shellfish allergy CRITICAL
    ah oui et il aime le navy voilà c'est tout euh merci"
DIRTY_026,N/A,très long,FR,long,"CONVERSATION EXCEPTIONNELLE avec M. DUPONT Jean-Pierre, retraité actif extraordinaire, 
    vraiment un client exceptionnel et extraordinaire qui mérite une attention 
    exceptionnelle et extraordinaire. around 41 donc dans la tranche d'âge 
    des clients exceptionnels et extraordinaires. Budget 5000$ mais 
    pourrait être plus élevé car client exceptionnel et extraordinaire. 
    Réside à francfort une ville exceptionnelle où vivent des gens exceptionnels.
    Pratique voile de manière exceptionnelle. vegan sauf occasionnellement de façon exceptionnelle.
    . Couleur préférée blanc une couleur exceptionnelle.
    Client à rappeler car exceptionnel et extraordinaire pour proposition 
    exceptionnelle collection exceptionnelle prochaine saison exceptionnelle.
    Potentiel lifetime value exceptionnel et extraordinaire vraiment incroyable.
    Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. "
DIRTY_027,15/01/2026,,Allemand,longe,"عميل مهم Sr. José María Pérez-López من Paris.
    العمر: 72ans. الميزانية: $10000.
    يبحث عن حقيبة فاخرة BLACK.
    pas de restrictions. allergies alimentaires diverses. 
    Sport: N/A. رياضي جدا.
    Rappeler en français merci."
DIRTY_028,2026.01.15,une demi-heure,Anglais,long,"|Client|MME LEGRAND|
    |Age|early forties|
    |Budget|12K€|
    |Ville|tokio|
    |Corrupted|data|table|error|format|"
DIRTY_029,15 janvier 2026,0.5h,FR/EN,long,"|Client|Signora D'Angelo|
    |Age|56 Jahre alt|
    |Budget|5000 – 7379 €|
    |Ville|St Tropez|
    |Corrupted|data|table|error|format|"
DIRTY_030,"January 15, 2026",30min,en,SHORT,"Client Mme Ñoño García, 27-year-old. Wants to buy un sac pour business trips. 
    Budget around $10000. Habite tokio mais travels often to München et Milano.
    Sport: Tennis. omnivore. Cuir navy preferred. ATTENTION: allergie sévère fruits coque!!!."
DIRTY_031,2026-01-15,~30min,DE,moyen,"{name: ""Prof. Øystein Ødegård"", age: ~55, 
    budget: ""20K€"", city: Dubaï"",
    diet: ""sans gluten sans lactose, allergy: ""allergies alimentaires diverses"",
    color: cognac, sport"": ""football""
    ERROR: JSON PARSE FAILED LINE 3}"
DIRTY_032,"January 15, 2026",30-45 min,Allemand,N/A,"|Client|Prof. Øystein Ødegård|
    |Age|quarante-deux|
    |Budget|pas de limite|
    |Ville|london|
    |Corrupted|data|table|error|format|"
DIRTY_033,15/01/2026,30 min,EN,???,"🌟 CLIENTE VIP 🌟 mme durand marie 💼 médecin-chirurgien ⭐⭐⭐⭐⭐
    Age: 63 ans | Budget: budget flexible 💰💰💰
    🏠 newyork | ✈️ travels a lot
    Loves: polo 🎾 | Art 🎨 | Music 🎵
    Diet: omnivore 🥗 | allergies alimentaires diverses ⚠️
    Color: Noir ❤️ | Wife birthday 🎂 coming up!
    Call back ASAP! 📞📞📞"
DIRTY_034,,30-45 min,Français,SHORT,"From: sales@boutique.com
    To: manager@boutique.com  
    Subject: RE: FW: RE: Client Sr. João Gonçalves
    
    -----Original Message-----
    Hi,
    Pls see below client info:
    - 61-year-old
    - entre 15000 et 18149  
    - hong-kong
    - BORDEAUX leather pref
    
    Rgds,
    
    >>> Previous message truncated...
    
    Sent from my iPhone
    --
    This email is confidential blah blah disclaimer..."
DIRTY_035,2026.01.15,30 min,autre,medium,"عميل مهم Client_35 من Francfort.
    العمر: born 1986. الميزانية: presupuesto 7000€.
    يبحث عن حقيبة فاخرة beige.
    suit régime Keto. N/A. 
    Sport: équitation. رياضي جدا.
    Rappeler en français merci."
DIRTY_036,1/15/26,30min,IT,short,Mr. O'Brien-McIntyre. Francfort. ok.
DIRTY_037,2026.01.15,30 min,N/A,SHORT,"Client Sr. José María Pérez-López, twenty eight. Wants to buy un sac pour business trips. 
    Budget selon modèle. Habite Cote d'Azur mais travels often to München et Milano.
    Sport: pilates. pas de restrictions. Cuir multicolore preferred. ???."
DIRTY_038,???,très long,plusieurs,court,"RDV M. 李明 (Li Ming) le 31/02/2026 à 25:99
    Client depuis 2099, 58 anni.
    Anniversaire: hier/demain/bientôt
    Budget selon modèle à confirmer 30/13/2025
    Rappeler: la semaine prochaine ou le mois dernier
    NYC. pescetarien. ATTENTION: allergie sévère fruits coque!!!. rose-gold."
DIRTY_039,"Euh alors le client c'est Mrs. Αλεξάνδρα Παπαδόπουλος voilà euh 
    donc il a genre euh 27-year-old enfin bon bref
    et donc son budget c'est euh environ euh genre Budget: 25000€
    il habite à ah mince comment ça s'appelle euh Paris
    donc voilà quoi euh kosher et puis euh allergy nuts, latex, perfumes
    ah oui et il aime le navy voilà c'est tout euh merci",2026-01-15,30m,deutsch,long
DIRTY_040,2026-01-15,~30min,anglais,SHORT,"Client . Age: . Budget: . Ville: .
    Sport: ???. Régime: N/A. Allergie: null.
    Couleur: undefined. Profession: NaN.
    TODO: compléter fiche plus tard"
DIRTY_041,N/A,court,Français,court,"RDV M. DUPONT Jean-Pierre le 31/02/2026 à 25:99
    Client depuis 2099, 73 años.
    Anniversaire: hier/demain/bientôt
    Budget 30000 euros à confirmer 30/13/2025
    Rappeler: la semaine prochaine ou le mois dernier
    Paris. regime special. N/A. noir."
DIRTY_042,"Client MME LEGRAND MME LEGRAND (doublon??)
    Age 73ans ou 73ans ans
    Budget from 7000 to 11786 / from 7000 to 11786 euros
    Ville francfort / francfort
    ATTENTION: POSSIBLE DUPLICATE: POSSIBLE DUPLICATE:
    pas de restrictions. pas d'allergie connue. rose gold. .",15/01/2026,une demi-heure,en,short
DIRTY_043,00/00/0000,"|Client|Mr. O'Brien-McIntyre|
    |Age|agé de 52|
    |Budget|entre 25000 et 27336|
    |Ville|St-Tropez|
    |Corrupted|data|table|error|format|"
DIRTY_044,N/A,???,plusieurs,court,"Rendez-vous <script>alert('XSS')</script> avec m dubois.
    <b>Budget:</b> unlimited budget <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville:  <br> Age: 57ans
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: beige. omnivore. intolérances: gluten lactose."
DIRTY_045,1/15/26,30min,anglais,court,"🌟 CLIENTE VIP 🌟 MME LEGRAND 💼 influencer/entrepreneur/model ⭐⭐⭐⭐⭐
    Age: 56ans | Budget: presupuesto 7000€ 💰💰💰
    🏠 Milan | ✈️ travels a lot
    Loves: équitation 🎾 | Art 🎨 | Music 🎵
    Diet: halal 🥗 | allergie arachides ET noix ⚠️
    Color: cognac ❤️ | Wife birthday 🎂 coming up!
    Call back ASAP! 📞📞📞"
DIRTY_046,00/00/0000,30min,Anglais,,"CONVERSATION EXCEPTIONNELLE avec Mr. O'Brien-McIntyre, ancien directeur maintenant consultant extraordinaire, 
    vraiment un client exceptionnel et extraordinaire qui mérite une attention 
    exceptionnelle et extraordinaire. 45+ donc dans la tranche d'âge 
    des clients exceptionnels et extraordinaires. Budget 7K€ mais 
    pourrait être plus élevé car client exceptionnel et extraordinaire. 
    Réside à Hong Kong une ville exceptionnelle où vivent des gens exceptionnels.
    Pratique YOGA de manière exceptionnelle. regime special de façon exceptionnelle.
    allergique nickel + latex. Couleur préférée blanc une couleur exceptionnelle.
    Client à rappeler car exceptionnel et extraordinaire pour proposition 
    exceptionnelle collection exceptionnelle prochaine saison exceptionnelle.
    Potentiel lifetime value exceptionnel et extraordinaire vraiment incroyable.
    Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. "
DIRTY_047,???,30min,en,N/A,"Client Dr. Émile François-Marie, agé de 39. Wants to buy un sac pour business trips. 
    Budget unlimited budget. Habite Cote d'Azur mais travels often to München et Milano.
    Sport: running. végétarien mais mange du poisson. Cuir rose-gold preferred. ."
DIRTY_048,2026-01-15,"Euh alors le client c'est Mrs. Björk Jónsdóttir voilà euh 
    donc il a genre euh ne souhaite pas dire enfin bon bref
    et donc son budget c'est euh environ euh genre 5000 – 8863 €
    il habite à ah mince comment ça s'appelle euh N/A
    donc voilà quoi euh kosher et puis euh N/A
    ah oui et il aime le rose-gold voilà c'est tout euh merci"
DIRTY_049,00/00/0000,court,French,short,"Client . Age: . Budget: . Ville: .
    Sport: ???. Régime: N/A. Allergie: null.
    Couleur: undefined. Profession: NaN.
    TODO: compléter fiche plus tard"
DIRTY_050,"January 15, 2026","M. Signora D'Angelo, nouveau client mais client fidèle depuis 2015.
    late twenties dynamique et retraité depuis 20 ans.
    Budget 30000EUR limité mais très généreux illimité.
    sans gluten sans lactose strict mais mange de tout occasionnellement.
    Habite milano mais n'a jamais visité cette ville.
    Aime Noir mais déteste absolument cette couleur.
    ??? mais aucun problème avec ces allergènes."
DIRTY_051,2026-01-15,"CONVERSATION EXCEPTIONNELLE avec Client_51, étudiant travaille aussi extraordinaire, 
    vraiment un client exceptionnel et extraordinaire qui mérite une attention 
    exceptionnelle et extraordinaire. la trentaine donc dans la tranche d'âge 
    des clients exceptionnels et extraordinaires. Budget selon modèle mais 
    pourrait être plus élevé car client exceptionnel et extraordinaire. 
    Réside à Hongkong une ville exceptionnelle où vivent des gens exceptionnels.
    Pratique N/A de manière exceptionnelle.  de façon exceptionnelle.
    pas d'allergie connue. Couleur préférée rose-gold une couleur exceptionnelle.
    Client à rappeler car exceptionnel et extraordinaire pour proposition 
    exceptionnelle collection exceptionnelle prochaine saison exceptionnelle.
    Potentiel lifetime value exceptionnel et extraordinaire vraiment incroyable.
    Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. "
DIRTY_052,15.01.26,N/A,,LONG,"M. M. DUPONT Jean-Pierre, nouveau client mais client fidèle depuis 2015.
    late twenties dynamique et retraité depuis 20 ans.
    Budget entre 12000 et 15779 limité mais très généreux illimité.
    ??? strict mais mange de tout occasionnellement.
    Habite  mais n'a jamais visité cette ville.
    Aime beige mais déteste absolument cette couleur.
    allergie soleil + produits chimiques mais aucun problème avec ces allergènes."
DIRTY_053,"January 15, 2026",30min,ES,long,"CONVERSATION EXCEPTIONNELLE avec mme durand marie, femme au foyer et bénévole extraordinaire, 
    vraiment un client exceptionnel et extraordinaire qui mérite une attention 
    exceptionnelle et extraordinaire. soixantaine donc dans la tranche d'âge 
    des clients exceptionnels et extraordinaires. Budget ¥10000000 mais 
    pourrait être plus élevé car client exceptionnel et extraordinaire. 
    Réside à Mailn une ville exceptionnelle où vivent des gens exceptionnels.
    Pratique YOGA de manière exceptionnelle. halal de façon exceptionnelle.
    allergies alimentaires diverses. Couleur préférée rose-gold une couleur exceptionnelle.
    Client à rappeler car exceptionnel et extraordinaire pour proposition 
    exceptionnelle collection exceptionnelle prochaine saison exceptionnelle.
    Potentiel lifetime value exceptionnel et extraordinaire vraiment incroyable.
    Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. "
DIRTY_054,invalid,long,francais,longe,"Client M. 李明 (Li Ming) M. 李明 (Li Ming) (doublon??)
    Age la trentaine ou la trentaine ans
    Budget £7000 / £7000 euros
    Ville new york / new york
    ATTENTION: POSSIBLE DUPLICATE: POSSIBLE DUPLICATE:
    vegetarian events. intolérances: gluten lactose. rose-gold. YOGA."
DIRTY_055,invalid,30m,Italien,court,"Client MME LEGRAND MME LEGRAND (doublon??)
    Age soixantaine ou soixantaine ans
    Budget 5000$ / 5000$ euros
    Ville Frankfurt / Frankfurt
    ATTENTION: POSSIBLE DUPLICATE: POSSIBLE DUPLICATE:
    ???. allergique nickel + latex. rose gold. marathon."
DIRTY_056,01-15-2026,environ 30,deutsch,short,Mrs. Αλεξάνδρα Παπαδόπουλος. singapour. ok.
DIRTY_057,2026.01.15,~30min,IT,longe,"M. Mme Zoë Bäcker, nouveau client mais client fidèle depuis 2015.
    late twenties dynamique et retraité depuis 20 ans.
    Budget 25000.000€ limité mais très généreux illimité.
    halal strict mais mange de tout occasionnellement.
    Habite NY mais n'a jamais visité cette ville.
    Aime  mais déteste absolument cette couleur.
    aucune mais aucun problème avec ces allergènes."
DIRTY_058,N/A,court,español,LONG,"Rendez-vous <script>alert('XSS')</script> avec Mme Zoë Bäcker.
    <b>Budget:</b> 12000.000€ <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: LONDON <br> Age: ne souhaite pas dire
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: rose gold. vegan sauf occasionnellement. pas d'allergie connue."
DIRTY_059,"{name: ""mme durand marie"", age: la trentaine, 
    budget: ""unlimited budget"", city: zürich"",
    diet: ""vegan sauf occasionnellement, allergy: ""aucune"",
    color: bordeaux, sport"": ""équitation""
    ERROR: JSON PARSE FAILED LINE 3}",N/A,30 minutes,DE,moyen
DIRTY_060,31/02/2026,"🌟 CLIENTE VIP 🌟 Mrs. Björk Jónsdóttir 💼 CEO, CFO, COO ⭐⭐⭐⭐⭐
    Age: environ 29 | Budget: budget flexible 💰💰💰
    🏠 PARIS | ✈️ travels a lot
    Loves:  🎾 | Art 🎨 | Music 🎵
    Diet: omnivore 🥗 | N/A ⚠️
    Color: Noir ❤️ | Wife birthday 🎂 coming up!
    Call back ASAP! 📞📞📞"
DIRTY_061,31/02/2026,environ 30,multilingual,court,"Rendez-vous <script>alert('XSS')</script> avec Prof. Øystein Ødegård.
    <b>Budget:</b> 3000.000€ <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: Paris <br> Age: born 1959
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: BORDEAUX. végétarien mais mange du poisson. allergies alimentaires diverses."
DIRTY_062,"🌟 CLIENTE VIP 🌟 mme durand marie 💼 NC ⭐⭐⭐⭐⭐
    Age: né en 1960 | Budget: 15000EUR 💰💰💰
    🏠 dubai | ✈️ travels a lot
    Loves: ??? 🎾 | Art 🎨 | Music 🎵
    Diet: sans gluten sans lactose 🥗 | ⚠️ allergies multiples ⚠️
    Color: BLACK ❤️ | Wife birthday 🎂 coming up!
    Call back ASAP! 📞📞📞","January 15, 2026",une demi-heure,fr,moyen
